symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
603392,2020Q4_1752557,北京市昌平区科学园路31号,生产III类：III-6840体外诊断试剂，II类：II-6840体外诊断试剂；销售体外诊断试剂及自产产品；生产体外诊断试剂(人类免疫缺陷病毒抗原抗体诊断试剂盒(酶联免疫法)、人类免疫缺陷病毒抗体诊断试剂盒(酶联免疫法)、丙型肝炎病毒抗体诊断试剂盒(酶联免疫法、间接法)、丙型肝炎病毒抗体诊断试剂盒(酶联免疫法、夹心法)、乙型肝炎病毒表面抗原诊断试剂盒(酶联免疫法)、梅毒甲苯胺红不加热血清试验诊断试剂、梅毒螺旋体抗体诊断试剂盒(酶联免疫法)、乙型肝炎病毒丙型肝炎病毒人类免疫缺陷病毒1型核酸检测试剂盒(PCR-荧光法)、预防用生物制品(冻干水痘减毒活疫苗、冻干水痘减毒活疫苗VZV-7D))；研发生物、生化保健制剂及配套器械、体外诊断试剂、疫苗；销售医疗器械；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外(不另附进出口商品目录)；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易；租赁医疗器械；出租商业用房、办公用房；维修医疗器械；技术服务。市场主体依法自主选择经营项目，开展经营活动；生产III类：III-6840体外诊断试剂、II类：II-6840体外诊断试剂、销售体外诊,邱子欣,北京市,公司是从事体外诊断试剂、体外诊断仪器与疫苗的研发、生产及销售的高新技术企业。公司坚持自主创新、坚持关键技术攻关，走产学研结合道路，现已发展成为我国创新免疫诊断产品和创新疫苗研发的领先企业。经过多年的研发投入、持续的技术创新，截至本招股说明书签署之日，公司在体外诊断试剂领域已取得了5项新药证书、9项药品注册证书、300余项国家医疗器械注册证、16项欧盟CE认证、2项世界卫生组织PQ认证，还获得150个国家二级标准物质证书。公司体外诊断领域的核心产品有艾滋病毒诊断试剂，病毒性肝炎系列诊断试剂，全自动管式化学发光免疫分析系统等。公司先后完成国家科技重大专项、863计划重大项目，荣获国家技术发明二等奖、国家科技进步二等奖、中国发明专利金奖、国家高技术产业化示范工程十年成就奖等重要国家级科技创新奖励。,wtzqb@ystwt.com;yefang@ystwt.com;zhangxiaomei@ystwt.com,"主营业务:主要从事体外诊断试剂,体外诊断仪器与疫苗的研发,生产及销售.主要产品:体外诊断仪器及体外诊断试剂.",邱子欣,北京,60704.0,叶芳,19910424,www.ystwt.com,万泰生物,0,SHSE,SHSE,生物科技,20610,-,生物科技,20610010,169001057000,29.58,94.57,¥272.51,医疗保健,206,0.15,937999,135025100,7.1,10000.0,937999,7.1,7.1,1.4,148.21,121.07,135.22,101.53,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752557
688981,2020Q4_1752575,上海市浦东新区张江路18号,从事集成电路晶圆代工业务，以及相关的设计服务与IP支持、光掩模制造、凸块加工及测试等配套服务。,周子学,上海市,"公司是全球领先的集成电路晶圆代工企业之一，也是中国大陆技术最先进、规模最大、配套服务最完善、跨国经营的专业晶圆代工企业，主要为客户提供0.35微米至14纳米多种技术节点、不同工艺平台的集成电路晶圆代工及配套服务,在逻辑工艺领域，中芯国际是中国大陆第一家实现14纳米FinFET量产的晶圆代工企业，代表中国大陆自主研发集成电路制造技术的最先进水平；在特色工艺领域，中芯国际陆续推出中国大陆最先进的24纳米NAND、40纳米高性能图像传感器等特色工艺，与各领域的龙头公司合作，实现在特殊存储器、高性能图像传感器等细分市场的持续增长,除集成电路晶圆代工业务外，中芯国际亦致力于打造平台式的生态服务模式，为客户提供设计服务与IP支持、光掩模制造、凸块加工及测试等一站式配套服务，并促进集成电路产业链的上下游合作，与产业链各环节的合作伙伴一同为客户提供全方位的集成电路解决方案。",ir@smics.com,"主要为客户提供0.35微米至14纳米多种技术节点,不同工艺平台的集成电路晶圆代工及配套服务",,上海,790057.83,郭光莉,20000403,www.smics.com,中芯国际,0,SHSE,SHSE,半导体,31130,-,半导体,31130020,219287116000,-3.31,-4.47,¥54.04,科技,311,0.02,1950000,112612500,5.92,10000.0,1950000,5.92,5.92,1.0,84.82,49.65,63.43,-14.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752575
688777,2020Q4_1752574,浙江省杭州市滨江区六和路309号,一般项目：工业自动控制系统装置制造、工业自动控制系统装置销售、软件开发、软件销售、货物进出口、技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广、网络与信息安全软件开发、信息安全设备制造、信息安全设备销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)；许可项目：各类工程建设活动、信息系统集成服务、建设工程设计、建筑智能化工程施工(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)。,CUI SHAN,杭州市,公司始终坚持通过自主创新打破跨国公司的技术壁垒，持续加大研发投入及研发平台建设，成功取得了一系列发明专利、技术奖项、产品认证及国际标准和国家标准。公司曾获得国务院授予的国家科学技术进步奖二等奖、一项中国标准创新贡献一等奖和多项省部级以上科技进步类奖项，牵头或参与制定国际标准、国家标准多项。2014年公司成为首批被推荐的两化融合管理体系贯标咨询服务机构，首次通过CMMI5级软件能力成熟度认证；2017年，公司入选全国首批智能制造系统解决方案供应商推荐目录和全国首批30家服务型制造示范企业名单；2018年，入选中国智能制造系统解决方案供应商联盟第一批供应商推荐目录；2019年，被工信部评为国家技术创新示范企业，被国家发改委认定为国家企业技术中心。,ir@supcon.com,"面向流程工业企业的“工业3.0+工业4.0”需求,提供以自动化控制系统为核心,涵盖工业软件,自动化仪表及运维服务的技术和产品,形成具有行业特点的智能制造解决方案,赋能用户提升自动化,数字化,智能化水平,实现工业企业高效自动化生产和智能化管理.",CUI SHAN,浙江,49408.4,莫威,19991207,www.supcontech.com,中控技术,0,SHSE,SHSE,工业制品,31070,-,电子器械和零件,31070060,48978198000,19.02,-0.77,¥96.95,工业,310,0.21,1055500,105763700,5.56,10000.0,1055500,5.56,5.56,1.0,124.75,96.0,106.67,-9.11,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752574
601888,2020Q4_1752553,北京市东城区东直门外小街甲2号A座8层,旅游服务及旅游商品相关项目的投资与管理，旅游服务配套设施的开发、改造与经营，旅游产业研究与咨询服务等。,彭辉,北京市,公司所属行业为旅游业，目前主要从事旅行社业务和免税业务，其中旅行社业务主要包括入境游、出境游、国内游、会奖旅游、签证服务、商旅服务、航空服务、电子商务等业务；免税业务主要包括烟酒、香化等免税商品的批发、零售等业务。此外，公司还从事旅游综合项目开发业务，主要包括旅游综合项目投资开发、旅游景区景点投资开发和旅游股权投资等业务。公司下属全资子公司国旅总社、中免公司及国旅投资公司分别负责公司的旅行社业务、免税业务、旅游综合项目投资开发业务。,citszq@citsgroup.com.cn,旅行社业务和免税业务.,陈国强,北京,195247.55,常筑军,20080328,www.citsgroup.net,中国中免,2011,SHSE,SHSE,旅游和娱乐,10290,-,旅游服务,10290050,554230378000,1.01,1.23,¥275.40,周期性消费,102,0.01,272000,76826400,4.04,10000.0,272000,4.04,4.04,1.0,282.45,166.14,207.58,32.67,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752553
300122,2020Q4_1752510,重庆市江北区金源路7号25层,批发生物制品；境外疫苗代理进口及销售；生物技术研究开发、技术咨询服务；货物及技术进出口；仓储服务(不含危险品)；生物制品市场推广宣传服务；普通货运、货物专用运输(冷藏保鲜)、国内货物运输代理。,蒋仁生,重庆市,公司系一家集疫苗研发、生产、销售、配送及进出口为一体的生物高科技企业，主营的人用疫苗为国家七大战略性新兴产业，发展前景广阔。现在售产品包括AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗(喜贝康)、b型流感嗜血杆菌结合疫苗(喜菲贝)、A、C、Y、W135群脑膜炎球菌多糖疫苗(盟威克)、注射用母牛分枝杆菌(微卡)、A群C群脑膜炎球菌多糖结合疫苗(盟纳康)等自主产品及统一销售默沙东授权的23价肺炎球菌多糖疫苗、甲型肝炎灭活疫苗(人二倍体细胞)、四价人乳头瘤病毒疫苗(酿酒酵母)、九价人乳头瘤病毒疫苗(酿酒酵母)、口服五价重配轮状病毒减毒活疫苗(Vero细胞)等所有进口疫苗。公司荣获全国非公有制企业双强百佳党组织、重庆市精神文明单位、全国“守合同重信用”企业、全国商务诚信试点企业、重庆市创新型企业、重庆市制造企业百强等荣誉称号。,IRM@zhifeishengwu.com;office1@zhifeishengwu.com,"主营业务为疫苗,生物制品的研发,生产和销售.自主产品包括:A群C群脑膜炎球菌多糖结合疫苗,ACYW135群脑膜炎球菌多糖疫苗,微卡(注射用母牛分枝杆菌)等;独家买断代理产品包括:Hib疫苗,甲肝减毒活疫苗等.",蒋仁生,重庆,160000.0,秦菲,19950720,www.zhifeishengwu.com,智飞生物,2017,SZSE,SZSE,生物科技,20610,-,生物科技,20610010,300091060000,3.98,27.1,¥186.75,医疗保健,206,0.03,510000,75434100,3.97,10000.0,510000,3.97,3.97,1.0,190.0,95.5,140.44,32.97,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752510
688561,2020Q4_1752570,,,,,,,,,,,,,,奇安信,0,SHSE,SHSE,软件,31110,-,软件基础构架,31110030,80906569000,33.06,-3.25,¥115.01,科技,311,0.0,22000,2698900,0.14,10000.0,22000,0.14,0.14,1.0,133.55,87.15,108.35,6.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752570
688567,2020Q4_1752571,江西省赣州市经济技术开发区金岭西路北侧彩蝶路西侧,锂离子电池及模块系统、电池模块管理系统、充电系统等电动车储能及管理系统的研发、生产、销售；马达、驱动器、大功率POWERIC、电力电子元器件等驱动马达及控制模块的研发、生产、销售；电动车传动系统、电动空调系统、电动转向系统、电动刹车系统、发电系统、电力转换系统等电动车辅助系统的研发、生产、销售；及其他锂电池产品和相关产品的研发、生产、销售。锂电池正负极材料、电解液、隔膜纸等的研发、生产、销售；废旧锂电池的回收和再利用的研发、生产、销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),王瑀,赣州市,"公司是全球动力电池技术发展的引领者，是新能源汽车动力电池系统整体技术方案的提供商，也是高性能动力电池系统的生产商，一直专注于新能源车用锂离子动力电池及整车电池系统的研发、生产和销售，并为新能源汽车整车企业提供动力电池整体解决方案，目前已成为全球三元软包动力电池的领军企业之一,公司研发团队长期与全球锂离子动力电池行业科研院所、知名企业、顶尖专家展开战略合作，合作单位包括美国阿贡国家实验室、美国伯克利劳伦斯国家实验室、巴斯夫、杜邦、3M公司等，合作专家包括全球最具影响力的锂离子动力电池行业顶尖专家Michael M.Thackeray、Jeff Dahn等。通过整合全球锂离子动力电池领域的创新资源，公司的技术能力始终保持国际领先水平。公司其他客户包括广汽、长城、吉利、一汽、江铃、长安等国内知名整车企业，同时正在拓展大众、奥迪、保时捷、通用、雷诺、日产、本田、奇瑞、东风等国内外一线整车企业客户。",farasisIR@farasisenergy.com.cn,"专注于新能源车用锂离子动力电池及整车电池系统的研发,生产和销售,并为新能源汽车整车企业提供动力电池整体解决方案.",王志刚,江西,107066.97,张峰,20091218,www.farasisenergy.com.cn,孚能科技,0,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,38358287000,41.24,-20.13,¥35.97,周期性消费,102,0.0,51400,2261700,0.12,10000.0,51400,0.12,0.12,1.0,45.92,22.77,29.92,20.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752571
688180,2020Q4_1752564,"上海市中国(上海)自由贸易试验区海趣路36,58号2号楼13层",生物医药的研发，并提供相关的技术开发、技术咨询、技术转让、技术服务，从事货物及技术的进出口业务。药品批发，药品委托生产。(详见药品上市许可持有人药品注册批件)【依法须经批准的项目，经相关部门批准后方可开展经营活动】,熊俊,上海市,公司是一家以开发治疗性抗体为主的研发型高科技公司。公司由多名毕业于美国知名学府，有着丰富的科技成果转化及产业化经验的留学人员创办，专注于创新单克隆抗体药物和其他治疗性蛋白药物的研发与产业化。公司自成立以来瞄准国际抗体技术研发的前沿进展，通过广泛的国内外技术合作，着力研发条件、研发团队和技术平台的建设，已搭建国内一楼创新人源化抗体药物产品研究开发技术平台。改平台涵盖分子抗体药物筛选、高产稳定CHO细胞株的构建及治疗性抗体分析检测在内的多个核心技术。公司目前在研产品十余种，主要覆盖肿瘤、心血管疾病和骨质疏松等领域。公司提供的技术服务指利用技术平台为客户提供定制服务，包括分子序列的设计及改造、高表达细胞株的构建、小试及中试工艺研究、临床前研究及临床研究样品的制备等。公司积累了大量的核心技术，其中部分技术为通用技术，可以转化为服务提供给需求方实现收入。,info@junshipharma.com,"单克隆抗体药物和其他治疗型蛋白药物的研发与产业化,单克隆抗体药物研发的技术服务与技术转让等.",李宁,上海,91075.67,陈英格,20121227,www.junshipharma.com,君实生物,0,SHSE,SHSE,生物科技,20610,-,生物科技,20610010,56161001000,-18.05,-18.62,¥65.51,医疗保健,206,0.0,27400,2156500,0.11,10000.0,27400,0.11,0.11,1.0,151.0,65.21,89.82,-27.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752564
688063,2020Q4_1752562,上海市中国(上海)自由贸易试验区祖冲之路887弄72号,锂电池以及其他类型电池的研发、销售以及技术咨询、技术服务，光通信用备用电源的设计、销售，以及相关技术咨询和技术服务，从事货物与技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,韦在胜,上海市,"公司是行业领先的储能电池系统提供商，专注于磷酸铁锂电芯、模组及储能电池系统的研发、生产和销售。公司产品可广泛应用于电力系统的发、输、配、用等环节以及通信基站和数据中心等场景,公司在全球电化学储能市场中具有较高品牌知名度和较强市场竞争力,2019年公司自主品牌家用储能产品出货量约占全球出货总量的8.5%，位居全球第三名。2019年公司以自主品牌和贴牌方式销售家用储能产品共计366MWh，约占全球出货总量的12.2%。报告期内公司连续荣获中国国际储能大会、中国储能网颁发的“中国储能产业最佳储能电池供应商”、“中国储能产业最具影响力企业”和“中国储能产业最佳系统集成解决方案供应商”等奖项。",ir@pylontech.com.cn,"专注于磷酸铁锂电芯,模组及储能电池系统的研发,生产和销售.",谈文,上海,15484.45,叶文举,20091028,www.pylontech.com.cn,派能科技,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,34801445000,48.99,-13.0,¥214.87,科技,311,0.0,5500,1422200,0.07,10000.0,5500,0.07,0.07,1.0,258.62,258.62,258.62,-16.92,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752562
300999,2020Q4_1752551,,,,,,,,,,,,,,金龙鱼,0,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,447162200000,14.96,-23.3,¥80.53,非周期性消费,205,0.0,10800,1071300,0.06,10000.0,10800,0.06,0.06,1.0,108.32,44.47,68.22,18.04,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752551
