symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601166,2020Q4_1750507,福建省福州市湖东路154号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)代理发行股票以外的有价证券；(九)买卖、代理买卖股票以外的有价证券；(十)资产托管业务；(十一)从事同业拆借；(十二)买卖、代理买卖外汇；(十三)结汇、售汇业务；(十四)从事银行卡业务；(十五)提供信用证服务及担保；(十六)代理收付款项及代理保险业务；(十七)提供保管箱服务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经国务院银行业监督管理机构批准的其他业务。,陶以平,福州市,公司成立于1988年8月，总行设在福建省福州市，是经国务院、中国人民银行批准成立的首批股份制商业银行之一。公司先后成立兴业信托、兴业金融租赁、兴业基金、兴业消费金融、兴业研究、兴业数字金融、兴业资产管理等机构，成为拥有最多金融牌照的商业银行之一，从单一银行已逐步演进为以银行为母体，涵盖信托、租赁、基金、消费金融、期货、资产管理、研究咨询、数字金融等在内的现代金融服务集团。旗下公司茁壮成长，部分子公司如兴业信托、兴业租赁、兴业基金等已跻身行业主流阵营。作为中国首家赤道银行和绿色金融的拓荒者、领跑者，公司在国内最早建立专业团队十年深耕绿色金融，已建成覆盖绿色融资、绿色租赁、绿色信托、绿色基金、绿色投资、绿色消费等多个领域的集团绿色产品服务体系。,irm@cib.com.cn,主营业务:商业银行业务,陶以平,福建,2077419.08,陈信健,19880822,www.cib.com.cn,兴业银行,2011,SHSE,SHSE,银行,10320,-,区域性银行,10320020,430421833000,3.61,3.51,¥20.41,金融服务,103,0.02,5000000,104350000,8.02,10000.0,5000000,8.02,8.02,1.0,21.6,15.54,17.66,15.57,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750507
002371,2020Q4_1750459,北京市经济技术开发区文昌大道8号,组装生产集成电路设备、光伏设备、TFT设备、真空设备、锂离子电池设备、流量计、电子元器件；销售集成电路设备、光伏设备、TFT设备、真空设备、锂离子电池设备、流量计、电子元器件；技术咨询、技术开发、技术转让；经济贸易咨询；投资及投资管理；货物进出口；技术进出口；代理进出口。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),赵晋荣,北京市,公司是一家以电子专用设备和电子元器件为主要产品，集研发、生产、销售及服务于一体的大型综合性高科技公司。电子专用设备方面，公司以大规模集成电路制造工艺技术为核心，研发生产了集成电路工艺设备、太阳能电池制造设备、气体质量流量控制器(MFC)、TFT设备、真空热处理设备、锂离子电池制造设备等系列产品，广泛应用于半导体、光伏、电力电子、TFT-LCD、LED、MEMS、锂电等多个新兴行业。高精密电子元器件方面，公司依托多年的元器件技术积累，建立了新产品、新工艺研发体系，产品技术等级不断提升，研发生产了电阻、电容、晶体器件、微波组件、模块电源、混合集成电路等高精密电子元器件系列产品，广泛应用于精密仪器仪表、自动控制等领域。公司为中国电子专用设备工业协会理事长和中国电子元件协会副理事长单位，是中国最大的电子装备生产基地和高端电子元器件制造基地。公司始终站在电子信息技术的前沿，技术开发坚持以自主研发为主、对外技术合作为辅的发展道路。公司依靠自主研发创造了辉煌的业绩，保持了在国内同行业中的技术领先地位。,002371@naura.com;sunzheng@naura.com;wangxiaoning@naura.com,"主营业务:从事基础电子产品的研发,生产,销售和技术服务业务.主要产品为大规模集成电路制造设备和电子元件.",陶海虹,北京,49646.48,王晓宁,20010928,www.naura.com,北方华创,2017,SZSE,SZSE,硬件,31120,-,电子元件,31120040,159229779000,116.43,83.31,¥322.49,科技,311,0.07,330000,59644200,4.59,10000.0,330000,4.59,4.59,1.0,229.34,153.22,180.24,78.92,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750459
603501,2020Q4_1750514,上海市浦东新区上科路88号东楼,集成电路、计算机软硬件的设计、开发、销售，商务信息咨询，从事货物及技术的进出口业务，自有房屋租赁(依法须经批准的项目，经相关部门批准后方可开展经营活动),王崧,上海市,公司是一家以自主研发、销售服务为主体的半导体器件设计和销售公司，主要从事设计、制造和销售应用于便携式电子产品、电视、电动车、电表、通信设备、网络设备、信息终端等领域的高性能集成电路，主要产品包括开关器件、信号放大器件、系统电源及控制方案、系统保护方案、电磁干扰滤波方案、分立器件。公司逐步引进大量人才，重点加强研发、品质等方面人才储备，同时建立了先进的可靠性实验室、EMC实验室，在产品的研发、试产、量产过程中，对产品质量层层把关，并为合作伙伴提供大量的EMC测试，在得到合作伙伴认可的同时，公司正逐步成为国际知名的半导体器件厂商。,Will_stock@ovt.corp.com,"主营业务:半导体分立器件和电源管理IC等半导体产品的研发设计,以及被动件(包括电阻,电容,电感等),结构器件,分立器件和IC等半导体产品的分销业务.,公司研发设计的半导体产品主要有分立器件(包括TVS,MOSFET,肖特基二极管等),电源管理IC(包括LDO,DC-DC,LED背光驱动,开关等),直播芯片和射频芯片等,公司代理分销的半导体产品主要有被动件(包括电阻,电容,电感等),结构器件,分立器件和IC等.",王崧,上海,86858.08,贾渊,20070515,www.omnivision-group.com,韦尔股份,2020,SHSE,SHSE,半导体,31130,-,半导体,31130020,273497810000,16.3,38.77,¥311.80,科技,311,0.03,240000,55464000,4.26,10000.0,240000,4.26,4.26,1.0,249.7,167.83,201.79,54.52,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750514
603019,2020Q4_1750513,北京市海淀区东北旺西路8号院36号楼,电子信息、软件技术开发、咨询、服务、转让、培训；计算机及外围设备、软件制造、批发兼零售；计算机系统集成；物业管理；货物及技术进出口；场地出租；计算机及外围设备维修、租赁；建筑安装业；信息设备供电系统和不间断电源(UPS)及相关软件；通信机柜、通信终端和通信维护设备及相关软件。(以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理),历军,天津市,公司是在中国科学院大力推动下，以国家“863”计划重大科研成果为基础组建的国家高新技术企业。公司主要从事研究、开发、生产制造高性能计算机、通用服务器及存储产品，并围绕高端计算机提供软件开发、系统集成与技术服务。公司是国内高性能计算领域的领军企业。由曙光公司研发的“星云”高性能计算机在第35届全球超级计算机“TOP500”中以每秒系统峰值达三千万亿次(3PFlops)、每秒实测Linpack值达1.271千万亿次的速度，取得了全球第二的成绩，成为世界上第三台实测性能超千万亿次的超级计算机，再次向世界力证了“中国速度”。自成立以来，曙光公司始终倡导着“自主创新服务中国”的品牌理念，以全面、专业、增值的服务为广大中国用户提供良好的应用体验，曙光的硬件产品、解决方案、云计算服务已被广泛应用于政府、能源、互联网、教育、气象、医疗及公共事业等社会各个领域。,investor@sugon.com,"主营业务;主要从事研究,开发,生产制造高性能计算机,通用服务器及存储产品,并围绕高端计算机提供软件开发,系统集成与技术服务.",历军,天津,145072.9,徐文超,20060307,www.sugon.com,中科曙光,2016,SHSE,SHSE,硬件,31120,-,计算机硬件,31120020,45074538000,3.51,-12.21,¥30.78,科技,311,0.11,1600000,54768000,4.21,10000.0,1600000,4.21,4.21,1.0,40.36,31.61,35.49,-13.27,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750513
601318,2020Q4_1750508,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1100020382000,-19.03,-29.43,¥59.65,金融服务,103,0.0,600000,52188000,4.01,10000.0,600000,4.01,4.01,1.0,93.38,74.82,81.32,-26.65,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750508
000002,2020Q4_1750456,广东省深圳市盐田区大梅沙环梅路33号万科中心,房地产开发；兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)。,郁亮,深圳市,公司成立于1984年，1988年进入房地产行业，经过三十余年的发展，已成为国内领先的城市配套服务商，公司业务聚焦全国经济最具活力的三大经济圈及中西部重点城市。2014年万科第四个十年发展规划，已经把“三好住宅供应商”的定位延展为“城市配套服务商”。2018年万科将这一定位进一步迭代升级为“城乡建设与生活服务商”，并具体细化为四个角色：美好生活场景师，实体经济生力军，创新探索试验田，和谐生态建设者。2017年，深圳地铁集团成为本集团第一大股东，始终支持万科的混合所有制结构，支持万科城市配套服务商战略和事业合伙人机制，支持万科管理团队按照既定战略目标，实施运营和管理，支持深化“轨道+物业”发展模式。公司核心业务包括住宅开发、物业服务、长租公寓。2018年，公司将自身定位进一步迭代升级为“城乡建设与生活服务商”，所搭建的生态体系已初具规模，在巩固住宅开发和物业服务固有优势的基础上，业务已延伸至商业开发和运营、物流仓储服务、租赁住宅、产业城镇、冰雪度假、养老、教育等领域，为更好的服务人民美好生活需要、实现可持续发展奠定了良好基础。,ir@vanke.com,房地产开发和物业服务,祝九胜,广东,1161773.22,朱旭,19840530,www.vanke.com,万科Ａ,2020,SZSE,SZSE,房地产,10410,-,房地产开发,10410010,265263343000,-17.82,-18.05,¥23.93,房地产,104,0.02,1800000,51660000,3.97,10000.0,1800000,3.97,3.97,1.0,31.61,26.96,28.94,-17.31,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750456
000001,2020Q4_1750455,"广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)从事同业拆借；(九)买卖、代理买卖外汇；(十)从事银行卡业务；(十一)提供信用证服务及担保；(十二)代理收付款项及代理保险业务；(十三)提供保管箱服务；(十四)结汇、售汇业务；(十五)离岸银行业务；(十六)资产托管业务；(十七)办理黄金业务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经有关监管机构批准的其他业务。,谢永林,深圳市,公司是深圳发展银行股份有限公司以吸收合并原平安银行股份有限公司的方式完成两行整合并更名后的银行，是全国性股份制商业银行。公司自2016年开始全面向零售银行转型，全力打造智能化零售银行，大力推进精品公司银行双轻化.综合金融是公司的特色优势，公司依托庞大的个人客户基础、强大的品牌影响力、广泛的分销网络和完备的综合金融产品体系，为全面推进零售转型、打造领先的智能化零售银行提供了强大的核心竞争力支持。在对公业务领域，公司利用大数据技术打造领先的中小企业数据征信平台，利用先进的IT系统打造橙e网、行E通、黄金银行等传统业务的新优势，提升对公司客户的数字化服务能力。,PAB_db@pingan.com.cn,"主要业务:贷款,拆借,存放等同业业务,债券投资.",胡跃飞,广东,1940591.82,周强,19871222,bank.pingan.com,平安银行,0,SZSE,SZSE,银行,10320,-,区域性银行,10320020,417991903000,7.18,12.67,¥21.34,金融服务,103,0.01,2400000,46416000,3.57,10000.0,2400000,3.57,3.57,1.0,20.05,13.22,16.38,30.28,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750455
600988,2020Q4_1750506,内蒙古自治区赤峰市红山区学院北路金石明珠写字楼A座9层,从事货物与技术的进出口业务；稀贵金属、有色金属购销；对采矿业及其他国家允许投资的行业的投资与管理。,王建华,赤峰市,公司是A股主板上市公司，股票代码600988。公司位于内蒙古赤峰市境内，主要从事黄金采选及资源综合回收利用业务，主要产品为黄金、白银、铋、钯、铑等多种稀贵金属。公司注重法人治理，坚持规范运营，在注重经济效益、以丰厚的业绩回报社会及广大投资者的同时，更加注重社会效益、企业文化发展及生态文明建设，积极承担社会责任。公司将通过不断创新管理机制，坚持低成本运营，加大对黄金资源的收购整合力度，推动黄金企业规模化、集约化发展，大力开展资源综合回收利用和其他环保技术的推广和应用，实现资源的有效利用、合理开发，借助国家“一带一路”政策，立足国内，放眼世界，努力打造国内先进、国际知名的黄金矿业上市公司。,A600988@126.com,"主要从事黄金采选及资源综合回收利用业务,主要产品为黄金,白银,铋,钯,铑等多种稀贵金属.",吕晓兆,内蒙古,166391.14,周新兵,19980622,www.600988.com.cn,赤峰黄金,0,SHSE,SHSE,金属与开采,10150,-,金,10150040,26022287000,3.84,-12.34,¥15.41,基础材料,101,0.14,2400000,42984000,3.3,10000.0,2400000,3.3,3.3,1.0,23.65,11.58,17.88,-13.81,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750506
688002,2020Q4_1750520,山东省烟台市开发区贵阳大街11号,"用于传感光通信、光显示的半导体材料、光电子器材、光电模板与应用系统、红外成像芯片与器件,红外热像仪整机与系统研发、生产和销售,与之相关的新技术、新产品的研发;货物、技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",马宏,烟台市,公司是一家专业从事非制冷红外热成像与MEMS传感技术开发的集成电路芯片企业，致力于专用集成电路、MEMS传感器及红外成像产品的设计与制造。公司产品主要包括非制冷红外热成像MEMS芯片、红外热成像探测器、红外热成像机芯、红外热像仪及光电系统。公司目前已具备先进的集成电路设计、传感器设计、器件封测、图像算法开发、系统集成等研发与制造能力。公司产品主要应用于军用及民用领域，其中军用产品主要应用于夜视观瞄、精确制导、光电载荷以及军用车辆辅助驾驶系统等，民用产品广泛应用于安防监控、汽车辅助驾驶、户外运动、消费电子、工业测温、森林防火、医疗检测设备以及物联网等诸多领域。公司已拥有的全系列产品可以满足绝大部分军品及民品客户需求。,raytron@raytrontek.com,"公司的主营业务为红外MEMS芯片,探测器,机芯及整机的研发,生产和销售,是一家专业的红外成像整体解决方案提供商.产品主要包括非制冷红外热成像MEMS芯片,红外热成像探测器,红外热成像机芯,红外热像仪及光电系统.",马宏,山东,44500.0,黄艳,20091211,www.raytrontek.com,睿创微纳,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,45958724000,17.83,-7.71,¥106.01,科技,311,0.08,370000,41070000,3.16,10000.0,370000,3.16,3.16,1.0,114.52,76.52,93.45,13.44,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750520
002695,2020Q4_1750462,江西省南昌市南昌县小蓝经济开发区小蓝中大道66号,食品生产；食品经营；食品互联网销售；日用百货销售；烟草制品零售；保健食品销售；日用陶瓷制品制造；工艺美术品及收藏品零售、批发(象牙及其制品除外)；食品添加剂、调味品的生产；食用农产品的加工；道路普通货物运输；自营和代理各类商品和技术的进出口业务(依法须经批准的项目，经相关部门批准后方可开展经营活动)。(公司的具体经营范围以工商登记机构核准内容为准)。,褚浚,南昌市,公司是一家以畜禽肉制品加工为主的食品加工企业。先后通过ISO9001：2008GB/T19001-2008质量管理体系认证和GB/T22000-2006/ISO22000：2005食品安全管理体系认证。公司实施肉鸭养殖——屠宰——肉制品深加工产业化特色经营，被农业部列为第三批全国农产品加工业示范基地，也连续多年被农业部等八部委评定为农业产业化国家重点龙头企业，是全国绿色食品示范企业。,hshspb@163.com;596130616@qq.com;wmq1974_07@163.com,"酱卤肉制品及佐餐凉菜快捷消费食品的开发,生产和销售.",褚浚,江西,51278.59,曾细华,19990401,www.jxhsh.com.cn,煌上煌,2017,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,7722799000,-20.8,-33.32,¥15.18,非周期性消费,205,0.31,1600000,36640000,2.82,10000.0,1600000,2.82,2.82,1.0,31.92,20.18,25.02,-39.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750462
