symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
300014,2020Q4_1752195,广东省惠州市仲恺高新区惠风七路38号,研发、生产、销售：锂一次电池、锂二次电池、锂聚合物电池、锂离子电池、锂电池(组)、锂离子蓄电池组、镍氢电池、镍镉电池、碱性电池、锌锰电池、动力电池系统和电池管理系统、锂电池(组)的充、放电设备、锂电池(组)配套维护设备、锂电池储能系统、电池材料，纳米新材料、水表、气表、电表的半成品及其配件制造，技术研发、开发及转让，货物进出口，房屋租赁，加工服务，设备租赁，物业管理，合同能源管理，锂电池相关技术咨询服务，电池相关的维修服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),刘金成,惠州市,公司是国家级高新技术企业，专注于锂电池的创新发展。经过多年的努力，公司锂亚电池居世界前列，锂原电池居国内领先地位。公司主营业务是锂原电池和锂离子电池的研发、生产、销售，也以客户需求为导向提供锂电池相关的配套产品和服务。近几年，公司聚焦动力、储能市场领域，采用高度自动化与信息化的生产方式，为客户提供一流产品和服务，已形成锂原电池、锂离子电池、电源系统等核心业务，产品覆盖智能电网、智能交通、智能安防，储能，新能源汽车，特种行业等市场。公司以“做世界上最好的锂电池，成为行业领先企业”为愿景，以市场为导向，以世界先进的技术与自动化的生产方式，致力于为社会提供高可靠性的锂电池，同时不断追求卓越，专注创新，致力于打造一流“智慧互联能源”方案提供商。,ir@evebattery.com,"主营业务:锂原电池和锂离子电池的研发,生产,销售,也以客户需求为导向提供锂电池相关的配套产品和服务.",刘建华,广东,188846.07,江敏,20011224,www.evebattery.com,亿纬锂能,2020,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,236615765000,71.31,55.77,¥122.97,工业,310,0.13,2508600,204450900,6.65,10000.0,2508600,6.65,6.65,1.0,81.5,44.85,57.56,113.64,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752195
600588,2020Q4_1752231,北京市海淀区北清路68号,电子计算机软件、硬件及外部设备的技术开发、技术咨询、技术转让、技术服务、技术培训；计算机系统集成；销售打印纸和计算机耗材；物业管理；企业管理咨询；数据库服务；销售电子计算机软硬件及外部设备；设计、制作、代理、发布广告；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；出租办公用房；零售图书；互联网数据中心业务(机房所在地为北京、南昌)、互联网接入服务业务(北京、南昌)、信息服务业务(不含互联网信息服务)(全国)(增值电信业务经营许可证有效期至2025年06月18日)；互联网信息服务。(市场主体依法自主选择经营项目，开展经营活动；互联网信息服务、互联网数据中心业务(机房所在地为北京、南昌)、互联网接入服务业务(北京、南昌)、信息服务业务(不含互联网信息服务)(全国)以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)(公司经营范围以市场监督管理机关核准的经营范围为准。),王文京,北京市,公司是领先的综合型、融合化、生态式的企业服务提供商，致力于服务中国及全球企业与公共组织的数字化转型与智能化发展，推动企业服务产业变革，用创想与技术推动商业和社会进步。基于移动互联网、云计算、大数据、社交等先进技术，用友UAP私有云平台是中国大型企业和公共组织应用最广泛的企业计算平台，畅捷通公有云平台在小微企业和各类企业公共应用服务中得到运用。中国及亚太地区超过400万家企业与公共组织通过使用用友软件和云服务，实现精细管理、敏捷经营、业务创新。公司连续多年被评定为国家“规划布局内重点软件企业”，“用友ERP管理软件”系“中国名牌产品”，“用友”系中国驰名商标，公司拥有系统集成一级资质，获中国绿色公司百强。,ir@yonyou.com,"主要产品:软件销售,技术服务及培训,软件配套用品销售.",王文京,北京,327053.15,齐麟,19950118,www.yonyou.com,用友网络,2017,SHSE,SHSE,软件,31110,-,软件应用,31110020,106094311000,-10.19,-25.48,¥32.08,科技,311,0.12,3999800,175473400,5.71,10000.0,3999800,5.71,5.71,1.0,52.65,37.61,43.95,-27.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752231
688169,2020Q4_1752253,"北京市海淀区黑泉路8号1幢康健宝盛广场C座六层6016,6017,6018号",软件及智能清洁设备的技术研发、技术转让、技术咨询、技术服务；智能清洁设备的委托加工；电子产品、机械设备、文化用品的批发、零售；销售日用品；仪器仪表维修；租赁机械设备、文化用品、日用品；销售自行开发的软件产品；货物进出口、技术进出口、代理进出口。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),昌敬,北京市,公司是一家专注于家用智能清洁机器人及其他清洁电器研发和生产的公司。公司是国际上将激光雷达技术及相关算法大规模应用于智能扫地机器人领域的领先企业。智能扫地机器人在通过基于激光测距传感器、惯性测量单元等传感器的SLAM算法构建出户型地图后，再根据户型地图进行定位，同时通过AI算法规划出智能、高效的清扫路径，可以有效避免漏扫重扫。服务器端通过对联网产品数据进行深度学习、算法优化从而不断迭代升级机器人算法。公司在研发与产品设计方面处于行业前列。公司分别被授予“国家高新技术企业”、“中关村高新技术企业”、“北京市知识产权试点企业”、“中国机器人产业联盟会员”、“中关村企业信用促进会会员”、“北京半导体行业协会会员”等资质，公司产品曾被授予“北京市新技术新产品(服务)”、“国际IF设计大奖”、“台湾金点奖”、“中国优秀工业设计奖”等多项荣誉。,ir@roborock.com,"主要产品为智能扫地机器人及相关配件,主营业务为智能清洁机器人等智能硬件的设计,研发,生产和销售.",昌敬,北京,6666.67,孙佳,20140704,www.roborock.com,石头科技,0,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,72542449000,9.07,5.76,¥1032.35,工业,310,0.21,138000,142968000,4.65,10000.0,138000,4.65,4.65,1.0,1065.0,377.2,640.11,61.28,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752253
002594,2020Q4_1752178,广东省深圳市坪山新区比亚迪路3009号,锂离子电池以及其他电池、充电器、电子产品、仪器仪表、柔性线路板、五金制品、液晶显示器、手机零配件、模具、塑胶制品及其相关附件的生产、销售；3D眼镜、GPS导航产品的研发、生产及销售；货物及技术进出口(不含分销、国家专营专控商品)；作为比亚迪汽车有限公司比亚迪品牌乘用车、电动车的总经销商，从事上述品牌的乘用车、电动车及其零部件的营销、批发和出口，提供售后服务；电池管理系统、换流柜、逆变柜/器、汇流箱、开关柜、储能机组的销售；汽车电子装置研发、销售；新能源汽车关键零部件研发以及上述零部件的关键零件、部件的研发、销售；轨道交通运输设备(含轨道交通车辆、工程机械、各类机电设备、电子设备及零部件、电子电气件、轨道交通信号系统、通信及综合监控系统与设备)的研发、设计、销售、租赁与售后服务(不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项管理的商品，按国家有关规定办理申请)；轨道梁柱的研发、设计、销售；自有物业租赁(物业位于大鹏新区葵涌街道延安路一号比亚迪工业园内及龙岗区龙岗街道宝龙工业城宝荷路3001号比亚迪工业园内)；广告设计、制作、代理及发布；信息与技术咨询、技术服务。,王传福,深圳市,比亚迪是一家致力于“用技术创新，满足人们对美好生活的向往”的高新技术企业。比亚迪成立于1995年2月，经过20多年的高速发展，已在全球设立30多个工业园，实现全球六大洲的战略布局。比亚迪业务布局涵盖电子、汽车、新能源和轨道交通等领域，并在这些领域发挥着举足轻重的作用，从能源的获取、存储，再到应用，全方位构建零排放的新能源整体解决方案。比亚迪是香港和深圳上市公司，营业额和总市值均超过千亿元。,db@byd.com,"包含传统燃油汽车及新能源汽车在内的汽车业务,手机部件及组装业务,以及二次充电电池及新能源业务",王传福,广东,286114.29,李黔,19950210,www.byd.com,比亚迪,2020,SZSE,SZSE,汽车和配件,10200,-,汽车制造,10200020,605722716000,42.85,21.67,¥223.41,周期性消费,102,0.02,700100,136021700,4.43,10000.0,700100,4.43,4.43,1.0,194.3,120.27,166.26,34.37,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752178
002705,2020Q4_1752179,广东省佛山市顺德区勒流镇龙洲路,生产经营电蒸汽熨斗、搅拌机、咖啡壶、开水器、面包机、电动牙刷、冲牙器、牙齿美白器、消毒器、充电器、口腔护理类产品、按摩器、家用美容美体类仪器、家用理疗护理类仪器、家用美发造型类仪器等家用电器产品，水处理设备，机械设备，锂离子电池、镍氢电池、镍镉电池、动力电池（用于家电产品、数码产品，移动电源），模具、电机、电路板等电器产品散件、零配件，塑料制品（国家限制、禁止类除外）、工程塑料、精密压铸件；销售食品添加剂；商品营销推广服务，本公司品牌授权；从事产品设计、模具设计、嵌入式软件设计、认证测试等服务，为企业提供管理服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,郭建刚,佛山市,公司是国内最大的小家电产品ODM/OBM制造商之一，主营业务为设计研发、生产、销售电热水壶、电热咖啡机等小家电产品，拥有丰富的产品线，能够满足国际知名品牌商、零售商“一站式”采购的需要。“Donlim”商标为“中国驰名商标”。公司是中国工业设计协会常务理事单位，主导、参与了多项国家标准的制定，建立了(CNAS)及一系列国际权威机构认可的实验室，拥有一千余项专利，并先后获得中国创新设计“红星奖”、中国创新设计“红棉奖”、“省长杯”广东工业设计奖。,investor@donlim.com,"主营业务:设计研发,生产,销售小家电产品.",曾展晖,广东,82672.78,陈景山,19951211,www.donlim.com,新宝股份,2014,SZSE,SZSE,硬件,31120,-,消费类电子产品,31120030,19639764000,-27.99,-41.96,¥23.20,科技,311,0.22,1857200,75042700,2.44,10000.0,1857200,2.44,2.44,1.0,50.39,34.07,43.48,-46.64,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752179
603345,2020Q4_1752240,福建省厦门市海沧区新阳路2508号,速冻食品制造；肉制品及副产品加工；鱼糜制品及水产品干腌制加工；收购农副产品(不含粮食与种子)；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(不另附进出口商品目录)，但国家限定公司经营或禁止进出口的商品及技术除外；其他未列明服务业(不含需经许可审批的项目)。,刘鸣鸣,厦门市,公司主要从事火锅料制品(以速冻鱼糜制品、速冻肉制品为主)和速冻面米制品的研发、生产和销售。经过十多年的发展，公司形成了以华东地区为中心、辐射全国的营销网络，逐步成长为国内较具影响力和知名度的速冻食品生产企业。公司荣获由国家发改委、国家科技部等5部委联合认定的火锅料行业首家“国家级企业技术中心”、农业部颁发的“农业产业化国家重点龙头企业”和“全国主食加工业示范企业”称号、中国合格评定国家认可委员会颁发的“CNAS国家实验室证书”以及“全国工业品牌培育示范企业”、“出入境检验检疫信用管理AA级企业”、“福建省海洋产业龙头企业”等多项殊荣。,zhengquanbu@anjoyfood.com;linyang@anjoyfood.com,"主营业务为火锅料制品,速冻面米制品等速冻食品的研发,生产和销售.主要产品为“安井”牌速冻食品,品种达300余种.",张清苗,福建,24442.44,梁晨,20011224,www.anjoyfood.com,安井食品,2017,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,48995111000,-13.43,4.08,¥191.77,非周期性消费,205,0.16,380000,73290600,2.39,10000.0,380000,2.39,2.39,1.0,196.56,115.96,166.54,15.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752240
600988,2020Q4_1752234,内蒙古自治区赤峰市红山区学院北路金石明珠写字楼A座9层,从事货物与技术的进出口业务；稀贵金属、有色金属购销；对采矿业及其他国家允许投资的行业的投资与管理。,王建华,赤峰市,公司是A股主板上市公司，股票代码600988。公司位于内蒙古赤峰市境内，主要从事黄金采选及资源综合回收利用业务，主要产品为黄金、白银、铋、钯、铑等多种稀贵金属。公司注重法人治理，坚持规范运营，在注重经济效益、以丰厚的业绩回报社会及广大投资者的同时，更加注重社会效益、企业文化发展及生态文明建设，积极承担社会责任。公司将通过不断创新管理机制，坚持低成本运营，加大对黄金资源的收购整合力度，推动黄金企业规模化、集约化发展，大力开展资源综合回收利用和其他环保技术的推广和应用，实现资源的有效利用、合理开发，借助国家“一带一路”政策，立足国内，放眼世界，努力打造国内先进、国际知名的黄金矿业上市公司。,A600988@126.com,"主要从事黄金采选及资源综合回收利用业务,主要产品为黄金,白银,铋,钯,铑等多种稀贵金属.",吕晓兆,内蒙古,166391.14,周新兵,19980622,www.600988.com.cn,赤峰黄金,0,SHSE,SHSE,金属与开采,10150,-,金,10150040,26022287000,3.84,-12.34,¥15.44,基础材料,101,0.23,3800000,68058000,2.22,10000.0,3800000,2.22,2.22,1.0,23.65,11.58,17.88,-13.65,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752234
300124,2020Q4_1752196,"广东省深圳市宝安区新安街道留仙二路鸿威工业园E栋厂房1,2,3,4,5楼",一般经营项目：工业自动化产品、新能源产品、新能源汽车、自动化装备、机械电子设备、物联网产品、机电产品和各种软件的研发、设计、系统集成、销售和技术服务(以上不含限制项目)；房屋租赁；投资兴办实业(具体项目另行申报)；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。许可经营项目：工业自动化产品、新能源产品、新能源汽车、自动化装备、机械电子设备、物联网产品、机电产品和各种软件的生产。,朱兴明,深圳市,公司是专门从事工业自动化和新能源相关产品研发、生产和销售的高新技术企业。经过十多年的发展，公司已经从单一的变频器供应商发展成机电液综合产品及解决方案供应商。目前公司主要产品包括：①服务于智能装备领域的工业自动化产品，②服务于工业机器人领域的核心部件、整机及解决方案，③服务于新能源汽车领域的动力总成产品，④服务于轨道交通领域的牵引与控制系统，⑤服务于设备后服务市场的工业互联网解决方案。公司专注于工业自动化控制产品的研发、生产和销售，定位服务于中高端设备制造商，以拥有自主知识产权的工业自动化技术为基础，在经营过程中坚持进口替代、行业营销、为细分市场客户提供整体解决方案的经营模式，实现企业价值与客户价值共同成长。在工业自动化产品方面，公司已经成为国内最大的中低压变频器与伺服系统供应商；在电梯行业，公司已经成为行业领先的电梯一体化控制器供应商；在新能源汽车领域，公司已经成为我国新能源汽车电机控制器的领军企业。公司是国家高新技术企业，掌握了高性能矢量变频技术、PLC技术、伺服技术和永磁同步电机等核心平台技术。,songjunen@inovance.com;chenmaorong@inovance.com;fanxin@inovance.com,"主要产品为低压变频器,伺服系统,可编程逻辑控制器,一体化及专机等工业自动化控制产品.主营业务:工业自动化控制产品的研发,生产和销售.",朱兴明,广东,257958.52,宋君恩,20030410,www.inovance.com,汇川技术,2020,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,194405894000,42.01,22.51,¥72.66,工业,310,0.03,900000,55980000,1.82,10000.0,900000,1.82,1.82,1.5,62.2,25.18,43.12,68.51,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752196
000157,2020Q4_1752171,湖南省长沙市银盆南路361号,开发、生产、销售工程机械、农业机械、环卫机械、汽车起重机及其专用底盘、消防车辆及其专用底盘、高空作业机械、应急救援装备、矿山机械、煤矿机械装备、物料输送设备、其它机械设备、金属与非金属材料、光机电一体化高新技术产品并提供租赁、售后技术服务；销售建筑装饰材料、工程专用车辆及金属材料、化工原料、化工产品(不含危化品和监控品)；润滑油、润滑脂、液压油的销售(不含危险化学品销售)；成品油零售(限分支机构凭许可证经营)；经营商品和技术的进出口业务；以自有资产进行房地产业投资(不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务)。二手车销售；废旧机械设备拆解、回收。(依法须经批准的项目，经相关部门批准后方可开展经营活动),詹纯新,长沙市,公司是一家装备制造企业，创立于1992年，主要从事工程机械、环境产业、农业机械等高新技术装备的研发制造。公司已覆盖全球多个国家和地区，在“一带一路”沿线均有市场布局。产品远销中东、南美、非洲、东南亚、俄罗斯以及欧美、澳大利亚等高端市场。公司在东亚、东南亚、欧洲等全球多个国家建有分子公司，在意大利、德国、巴西、印度、白俄罗斯投资建有工业园，并在全球设立多个常驻机构。以阿联酋、巴西为中心，正逐步建立全球物流网络和零配件供应体系。公司积极推进战略转型，打造集工程机械、农业机械和金融服务多位一体的高端装备制造企业。,157@zoomlion.com,"主要业务:混凝土机械,起重机械,环卫机械,路面机械,非开挖设备等基础设施重大装备及其配套部件的生产和销售.主要产品:混凝土机械,起重机械,环卫机械,路面机械.",詹纯新,湖南,867072.83,杨笃志,19990831,www.zoomlion.com,中联重科,2020,SZSE,SZSE,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,68140682000,-30.22,-13.23,¥8.11,工业,310,0.03,2500000,24750000,0.81,10000.0,2500000,0.81,0.81,1.0,10.82,7.24,8.64,-6.13,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752171
688036,2020Q4_1752251,广东省深圳市南山区粤海街道深南大道9789号德赛科技大厦标识层17层(自然层15层)1702-1703号,"移动互联网及手机软件的技术开发、技术咨询;电子产品的批发、进出口及相关配套业务(不涉及国营贸易管理商品,涉及配额、许可证管理及其他专项规定管理的商品,按照国家有关规定办理申请)",竺兆江,深圳市,公司是一家以手机为核心的智能终端的设计、研发、生产及品牌运营的高新技术企业，业务集中在非洲、南亚、东南亚等新兴市场国家。同时实施多元化战略，开发了数码配件、家用电器以及移动互联网服务。主要产品为TECNO、itel和Infinix三大品牌手机，另创立数码配件品牌Oraimo，家用电器品牌Syinix及售后服务品牌Carlcare，自主研发HIOS、itelOS、和XOS等智能终端操作系统。针对特定市场需求，完成了切合当地市场的研发成果，包括黑人肤色摄像技术、防汗液USB端口等。2018年手机出货量全球市场占有率7.04%，排名第四；非洲市占率48.71%，排名第一；印度市占率6.72%，排名第四。,investor@transsion.com;xiaojuan.wang@transsion.com,"发行人的主营业务是从事以手机为核心的智能终端的设计,研发,生产,销售和品牌运营,主要产品为TECNO,itel和Infinix三大品牌手机,销售区域主要集中在非洲,南亚,东南亚,中东和南美等全球新兴市场国家.基于在新兴市场积累的领先优势,公司围绕主营业务积极实施多元化战略布局,创立了数码配件品牌Oraimo,家用电器品牌Syinix以及售后服务品牌Carlcare等.公司自主研发HiOS,itelOS和XOS等智能终端操作系统,围绕OS操作系统开发应用商店,游戏平台,广告分发平台以及手机管家等工具类软件.同时公司与网易等多家国内领先的互联网公司,积极开发和孵化移动互联网产品,在音乐,游戏,短视频,内容聚合及其他应用领域进行出海战略合作.基于用户流量和数据资源开展的移动互联网业务是公司经营业绩增长的新动力.",竺兆江,广东,80000.0,曾春,20130821,www.transsion.com,传音控股,0,SHSE,SHSE,硬件,31120,-,通讯设备,31120010,140707860000,1.52,14.61,¥173.56,科技,311,0.02,150000,22821000,0.74,10000.0,150000,0.74,0.74,1.0,152.14,67.88,111.39,55.81,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752251
